ate,rate,duration,front_cloud_match_num,back_cloud_match_num,front_kf_num,back_kf_num,lost_timestamp,new_map_timestamp,lost_time,sum_bag_size,sum_nosampling_bag_size,ref_traj_duration,est_traj_duration,speed,nosampling_speed,subdir
0.0833857,0.887289,71.5725,466.0,1269.0,20.0,20.0,13.4,16.6,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_18_08
1.18628,0.884957,71.818,24.0,62.0,5.0,5.0,17.4,23.4,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-21_06_59
0.226403,0.889526,66.0609,15.0,168.0,5.0,5.0,22.1,26.2,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_45_18
0.353854,0.642719,67.7455,79.0,1391.0,20.0,20.0,14.8,17.9,1.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_32_11
0.0453088,0.889526,76.9302,161.0,419.0,10.0,10.0,22.1,26.2,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_50_44
0.0869843,0.878097,61.5116,92.0,244.0,10.0,10.0,13.4,16.6,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_16_21
0.0300035,0.643777,69.3511,414.0,1225.0,20.0,20.0,13.3,16.5,1.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_39_11
0.312493,0.887289,46.9937,0.0,0.0,20.0,20.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_53_39
0.0985254,0.879291,60.4763,43.0,229.0,10.0,10.0,13.4,16.6,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_42_00
0.0698043,0.889526,74.455,78.0,242.0,10.0,10.0,22.0,25.9,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_54_29
0.0712275,0.889526,60.4392,93.0,229.0,10.0,10.0,13.4,16.6,1.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_06_37
0.938422,0.889526,66.7465,7.0,84.0,5.0,5.0,22.0,26.2,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_59_42
0.139776,0.889526,69.6842,7.0,48.0,5.0,5.0,22.0,25.7,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_39_01
0.0412966,0.642719,70.8758,413.0,1268.0,20.0,20.0,13.4,16.6,1.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_20_26
0.333466,0.646069,68.844,108.0,1648.0,20.0,20.0,14.7,17.8,1.0,0.0,0.0,155.7,19.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_34_38
0.931322,0.889526,60.3323,238.0,233.0,10.0,10.0,22.1,26.0,1.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_52_08
0.162918,0.887289,72.7759,68.0,240.0,10.0,10.0,22.1,26.0,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_07_49
1.02329,0.884957,66.0653,11.0,225.0,5.0,5.0,22.1,26.4,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-21_08_18
0.0457486,0.88264,99.1253,1861.0,971.0,20.0,20.0,22.1,25.9,2.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_33_26
1.03354,0.887289,65.4908,13.0,117.0,5.0,5.0,22.0,26.0,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_44_00
0.705403,0.639248,69.8991,132.0,1598.0,20.0,20.0,14.7,17.8,1.0,0.0,0.0,155.7,18.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_21_18
0.0697997,0.887289,46.9665,0.0,0.0,10.0,10.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_03_55
0.0421633,0.884957,68.683,170.0,1053.0,20.0,20.0,13.4,16.6,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_07_24
0.121879,0.887289,75.525,97.0,380.0,10.0,10.0,22.1,26.2,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_39_24
0.702931,0.878097,57.608,3.0,100.0,5.0,5.0,13.5,16.7,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-21_10_40
0.0708659,0.878097,67.1907,215.0,969.0,20.0,20.0,13.5,16.7,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_58_26
0.0773672,0.887289,74.4049,74.0,176.0,10.0,10.0,22.1,26.0,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_04_03
0.0708892,0.643777,71.3375,261.0,1381.0,20.0,20.0,13.6,16.8,1.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_27_22
1.01129,0.889526,64.9609,12.0,139.0,5.0,5.0,22.0,26.0,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_34_27
0.154007,0.884957,57.8793,19.0,87.0,5.0,5.0,13.5,16.7,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_52_28
0.739219,0.815629,65.0671,57.0,152.0,5.0,5.0,22.0,25.2,2.0,0.0,0.0,155.7,23.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_47_41
0.225579,0.88264,67.9783,23.0,132.0,5.0,5.0,22.1,26.0,2.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_51_08
0.183319,0.878097,46.963,0.0,0.0,20.0,20.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_24_45
0.0419533,0.889526,66.8246,203.0,738.0,20.0,20.0,13.6,16.7,1.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_24_49
0.13599,0.887289,89.1322,194.0,957.0,20.0,20.0,22.1,26.3,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_43_29
0.193885,0.879291,46.9586,0.0,0.0,10.0,10.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_09_11
0.942071,0.889526,59.1141,96.0,378.0,10.0,10.0,14.8,17.9,1.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_32_40
1.1046,0.878097,57.0008,12.0,154.0,5.0,5.0,14.2,17.4,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_40_23
0.910333,0.884957,90.6457,132.0,461.0,20.0,20.0,22.1,26.0,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_41_46
1.01436,0.889526,70.6538,23.0,291.0,10.0,10.0,22.1,26.1,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_36_37
1.09014,0.889526,73.2618,11.0,215.0,10.0,10.0,22.1,26.1,2.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_23_59
0.0945345,0.887289,60.3022,478.0,166.0,10.0,10.0,22.1,26.0,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_18_56
0.0591678,0.887289,46.9611,0.0,0.0,5.0,5.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-21_06_00
0.0540175,0.889526,61.3468,64.0,239.0,10.0,10.0,13.3,16.5,1.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_53_21
